区分,項目,説明
このランキングは何か,位置づけ,複数の検索系シグナルをもとに週次で整理した参考指標です。販売実績順位ではなく、公開判断を補助する運用ビューです。
何をもとにしているか,使用ソース,GT = Google Trends、GS = Google Suggest、YT = YouTube Suggest を使います。
順位の考え方,複数ソースの総合,GT / GS / YT をまとめて見た総合スコアで並べます。単一ソースだけの人気順位ではありません。
向いている見方,週次比較,同じルールで毎週見れば、上位候補や信号の変化を追いやすくなります。
注意点,販売確定ではない,上位にあることは販売実績や導入実績の確定を意味しません。
注意点,coverage gate の限界,coverage gate 通過は必要なソースが揃ったという意味であり、そのまま品質保証ではありません。
注意点,低値 / 0値,GTの低値や0値は signal quality に注意し、公開文では断定しすぎないようにします。
注意点,一時的な影響,一時的な話題性、検索語の揺れ、サジェストの特性によって順位や値が動くことがあります。
信頼性の見せ方,根拠表示,使用ソース、対象週、正本の所在を明示します。正本は repo / Markdown / data/output / PROJECT_STATUS.md です。
Web公開時の注記,参考指標,本ランキングは、複数の検索系シグナルをもとに週次で整理した参考指標です。
Web公開時の注記,販売実績ではない,販売実績順位ではありません。
Web公開時の注記,変動可能性,公開時点のデータに基づくため、今後変動する可能性があります。
再開時に見る場所,確認順,まず `ランキング結果` で今週の上位を見て、`ソース一覧` と `ランキングの見方` で根拠と注意点を確認します。
