spreadsheet_name,spreadsheet_id,sheet_name,current_role,decision,usage_status,evidence,notes
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,ネットショップ商品一覧,商品マスタ本体,残す,使用中の可能性が高い,商品コード・公開状態・原価・売価・画像列を保持,商品マスタ正本候補
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,ルール,コード/分類マスタ,残す,使用中の可能性が高い,店舗・メーカー・年・部位・カテゴリ・状態コードを保持,メーカーコード桁数説明の不一致は要確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,Wordpress用csv,WordPress掲載用整形,統合,使用中/過去使用の可能性,WordPress投稿・商品メタ・カテゴリ・公開状態列あり,新系ではチャネル出力へ分離
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,BASE用csv,BASE出品用整形,要確認,要確認,BASE用CSV列あり,BASE継続要否を確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,その他商品一覧,その他商品枠,要確認,要確認,見出しのみ確認,実運用とGAS参照を確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,配送について,配送案内/送料運用メモ,統合,参照用の可能性,配送・設置・引取案内を保持,新系では配送ルール/FAQへ分離
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,委託販売データベース,委託販売ルール/フォーム導線,要確認,要確認,ルール/フォーム項目のみ確認,委託販売スコープ確認
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,買取明細書・領収書,買取帳票テンプレート,統合,要確認,買取品・顧客情報・合計式を保持,個人情報を含むため権限分離が必要
ネットショップ商品一覧2018-10-22,1KqOnN5eGh0i_DNRnpMHg9fqnR0DdVNeLEgui7lku3qk,動画の貼り付け方,動画埋め込み手順メモ,アーカイブ,参照用,iframe HTMLの貼付手順のみ,新サイト仕様決定後に置換可能
ネットショップ商品一覧2024,10Zp4e5BHLETAukN0fWfAmqWgBg5ptl5V4mgYvuOpFsg,全タブ,商品マスタ旧コピー候補,アーカイブ,要確認,2018-10-22版と同型タブ構成,正本との差分確認が必要
ネットショップ商品一覧2018-10-22 のコピー,1pceh0YsHVGbBf1PS3OjUmy_Z2OtpMzayf8euAiJNIwY,全タブ,商品マスタ旧コピー候補,アーカイブ,要確認,コピー名,凍結対象候補
ネットショップ商品一覧3.24bk,1MbQbJdNWFSmQs24kfJnv06Eh62yt3nGIj-zAqnafxFs,全タブ,商品マスタバックアップ候補,アーカイブ,要確認,bk名称,最終更新と差分確認が必要
中古マシン販売管理アプリ,1tZEHQU45zTDKDm1lWYC-wob2SHuK4DNdnqi08k1mIog,used,簡易商品管理表,要確認,要確認,13列程度の簡易商品項目のみ,本流か試作か確認
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,mitsumori,商品コード起点の見積行/割引/運搬費,残す,使用中の可能性が高い,SD商品コード・運搬設置費・割引率列あり,自動入力GAS未取得
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,見積書(簡易),顧客提出用簡易見積帳票,統合,使用中/派生利用の可能性,小計・税・合計のセル式あり,固定行式のため再設計時注意
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,運搬費計算,運搬設置費計算,統合,使用中の可能性,距離・高速代・燃費・人件費・車代の式あり,配送費モジュール候補
【見積】見積もりテンプレート2.3,1LAbKaOuuOKKLByXCLGurjVBglwCTOpdfomC2x8u6Yaw,値引きルール,台数別値引きマスタ,残す,使用中の可能性,1台0%・2台5%・3-4台10%・5台以上15%,ルールテーブル化候補
